"p(Int)_psi","psi(Int).x","p(as.factor(precip.cat))","p(veg_cover_cam_under_1m)_psi","psi(slope).x","psi(woodland_percent_0_9km).x","psi(as.factor(turbine_interior))","psi(X50cm_turbine_vis).x","psi(turbine_rd_dist).x","df","logLik","AICc","delta","weight","Model","psi(Int).y","psi(woodland_percent_0_9km).y","psi(slope).y","psi(X50cm_turbine_vis).y","psi(as.factor(turbine_interior)1)","psi(turbine_rd_dist).y","p(Int)_det","p(as.factor(precip.cat)1)","p(veg_cover_cam_under_1m)_det","LRT_stat","LRT_p","Evidence_Ratio_vs_NonWind"
-1.52257696026869,2.66380274283308,"+",-0.172121050418647,-0.801271033822683,-0.964659864437206,NA,-0.657270784240588,1.95491757672408,8,-1637.76809551967,3293.08457813612,0,0.39582712102555,"Turbine visibility + access road distance + percent wooodland + slope","2.66 [1.70, 3.62]","-0.96 [-1.47, -0.45]","-0.80 [-1.29, -0.31]","-0.66 [-1.18, -0.13]",NA,"1.95 [0.28, 3.63]","-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",7.97936559723257,0.018505583185525,5.24667484657209
-1.52263573653547,2.6990719483043,"+",-0.172144941758822,-0.830515858818101,-0.970132875552586,"+",-0.636202563188941,1.61735728589644,9,-1637.55353175241,3295.06358524396,1.97900710784279,0.147153167329743,"Turbine interior + turbine visibility + access road distance + 
    percent wooodland + slope","2.70 [1.77, 3.63]","-0.97 [-1.48, -0.46]","-0.83 [-1.33, -0.33]","-0.64 [-1.16, -0.11]","-0.47 [-1.50, 0.56]","1.62 [-0.15, 3.38]","-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",8.40849313174613,0.0382823353495066,1.9505101611583
-1.5226726568177,2.50402073288136,"+",-0.17207935579875,-0.686240524953744,-0.679052242161211,"+",NA,1.33461965108985,8,-1638.9380790394,3295.42454517557,2.33996703945286,0.122853677468153,"Turbine interior + access road distance + percent wooodland + slope","2.50 [1.68, 3.32]","-0.68 [-1.09, -0.27]","-0.69 [-1.13, -0.24]",NA,"-0.53 [-1.53, 0.46]","1.33 [-0.19, 2.85]","-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",5.63939855777971,0.0596238701696497,1.62842126055186
-1.5226822365013,2.34889435385512,"+",-0.172132209712713,-0.802412588451763,-1.04342982521348,"+",-0.568744338682282,NA,8,-1639.12777692739,3295.80394095156,2.71936281543776,0.101625668418221,"Turbine interior + turbine visibility + percent wooodland + slope","2.35 [1.70, 3.00]","-1.04 [-1.52, -0.57]","-0.80 [-1.28, -0.33]","-0.57 [-1.05, -0.08]","-1.06 [-1.99, -0.12]",NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",5.26000278179481,0.0720783619850897,1.34704473224192
-1.52261785439521,1.90258947766892,"+",-0.172014217102585,-0.589965990324746,-0.789541413426703,NA,NA,NA,6,-1641.75777831829,3296.39976716289,3.31518902677408,0.0754434251408135,"Percent wooodland + slope","1.90 [1.43, 2.38]","-0.79 [-1.17, -0.40]","-0.59 [-1.00, -0.18]",NA,NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",NA,NA,NA
-1.52248296055022,2.3859703207606,"+",-0.172111451877711,NA,-0.926819359236324,NA,-0.442845068171322,1.5633744721032,7,-1641.23581074036,3297.66311084242,4.57853270629903,0.040113430351265,"Turbine visibility + access road distance + percent wooodland","2.39 [1.57, 3.20]","-0.93 [-1.39, -0.46]",NA,"-0.44 [-0.92, 0.04]",NA,"1.56 [0.10, 3.02]","-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",5.85561654586263,0.0535141982236453,1.90515542291032
-1.52263177483281,2.39747968202804,"+",-0.172212416246154,-0.716585708912423,NA,"+",NA,1.7232502239481,7,-1641.84737976176,3298.88624888522,5.80167074910469,0.0217614961890938,"Turbine interior + access road distance + slope","2.40 [1.59, 3.20]",NA,"-0.72 [-1.13, -0.30]",NA,"-0.37 [-1.30, 0.57]","1.72 [0.20, 3.25]","-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",8.8932823991363,0.0117178588961081,8.70063941308746
-1.52258650806761,1.83369936993644,"+",-0.172062907806175,NA,-0.826611406560374,NA,NA,NA,5,-1644.16361901329,3298.95223802658,5.86765989045944,0.0210552009924669,"Percent woodland","1.83 [1.38, 2.28]","-0.83 [-1.19, -0.46]",NA,NA,NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",NA,NA,NA
-1.52259124415415,2.30259651010823,"+",-0.172117620966372,NA,-0.739222511597294,"+",NA,1.22132866508848,7,-1641.90978736504,3299.01106409178,5.92648595565879,0.0204449227429948,"Turbine interior + access road distance + percent wooodland","2.30 [1.56, 3.04]","-0.74 [-1.13, -0.35]",NA,NA,"-0.31 [-1.25, 0.64]","1.22 [-0.18, 2.62]","-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",4.50766329650287,0.10499614453097,0.971015320647357
-1.52267448291631,2.36780389284914,"+",-0.172294461062035,-0.713236278420368,NA,NA,-0.106505374444582,2.00310276216483,7,-1641.95360868636,3299.09870673441,6.01412859829634,0.0195683458630205,"Turbine visibility + access road distance + slope","2.37 [1.54, 3.19]",NA,"-0.71 [-1.14, -0.29]","-0.11 [-0.57, 0.36]",NA,"2.00 [0.50, 3.51]","-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",8.68082454994465,0.0130311546768948,7.82377828184675
-1.52249199655207,2.40268983849339,"+",-0.172110319528047,NA,-0.930332373030591,"+",-0.429465920781072,1.39384570462903,8,-1641.17521141402,3299.89880992482,6.81423178869773,0.0131163777401407,"Turbine interior + turbine visibility + access road distance + 
   percent wooodland","2.40 [1.60, 3.20]","-0.93 [-1.39, -0.47]",NA,"-0.43 [-0.91, 0.05]","-0.23 [-1.20, 0.73]","1.39 [-0.18, 2.97]","-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",5.97681519853586,0.112743680629293,0.622951913155971
-1.52253889499745,2.13289423221859,"+",-0.172054437542113,NA,-0.999349747354804,"+",-0.385435114320415,NA,7,-1642.62130914734,3300.43410765637,7.34952952025515,0.0100363428781149,"Turbine interior + turbine visibility + percent wooodland","2.13 [1.55, 2.71]","-1.00 [-1.43, -0.56]",NA,"-0.39 [-0.84, 0.07]","-0.77 [-1.64, 0.10]",NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",3.08461973190651,0.213886481292794,0.476668110729776
-1.5226333326958,2.41410185271834,"+",-0.172229618676685,-0.735307648869612,NA,"+",-0.094415479964147,1.77504739613291,8,-1641.8057462565,3301.15987960977,8.07530147364787,0.00698194000644185,"Turbine interior + turbine visibility + access road distance + slope","2.41 [1.60, 3.23]",NA,"-0.74 [-1.16, -0.31]","-0.09 [-0.56, 0.37]","-0.35 [-1.29, 0.58]","1.78 [0.20, 3.35]","-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",8.97654940966504,0.0296043052058663,2.7915057803013
-1.52269653217369,1.70836315672636,"+",-0.172338633629898,-0.611982532999485,NA,NA,NA,NA,5,-1646.29402096133,3303.21304192266,10.1284637865388,0.00250113757804516,"Slope","1.71 [1.30, 2.12]",NA,"-0.61 [-0.98, -0.25]",NA,NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",NA,NA,NA
-1.52273815414131,2.09107558522449,"+",-0.172276272959474,-0.703718201753084,NA,"+",-0.0210017756374687,NA,7,-1644.68535455544,3304.56219847258,11.477620336459,0.00127400742423981,"Turbine interior + turbine visibility + slope","2.09 [1.53, 2.65]",NA,"-0.70 [-1.10, -0.31]","-0.02 [-0.46, 0.42]","-1.08 [-1.93, -0.22]",NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",3.21733281178194,0.200154360846171,0.509371189902937
-1.52278995722471,1.61407117725818,"+",-0.172626458892585,NA,NA,NA,NA,NA,4,-1649.72873896069,3307.86984905541,14.7852709192921,0.000243738851696529,"Null","1.61 [1.23, 2.00]",NA,NA,NA,NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",NA,NA,NA
