"p(Int)_psi","psi(Int).x","p(as.factor(precip.cat))","p(veg_cover_cam_under_1m)_psi","psi(slope).x","psi(woodland_percent_0_9km).x","psi(as.factor(biotic_com_2))","psi(turbine_rd_density_0_9km).x","psi(turbine_rd_density_0_9km:woodland_percent_0_9km)","psi(as.factor(biotic_com_2):turbine_rd_density_0_9km)","df","logLik","AICc","delta","weight","Model","psi(Int).y","psi(woodland_percent_0_9km).y","psi(slope).y","psi(as.factor(biotic_com_2)2)","psi(turbine_rd_density_0_9km).y","psi(woodland_percent_0_9km:turbine_rd_density_0_9km)","psi(turbine_rd_density_0_9km:as.factor(biotic_com_2)2)","p(Int)_det","p(as.factor(precip.cat)1)","p(veg_cover_cam_under_1m)_det","LRT_stat","LRT_p","Evidence_Ratio_vs_NonWind"
-1.52261785439521,1.90258947766892,"+",-0.172014217102585,-0.589965990324746,-0.789541413426703,NA,NA,NA,NA,6,-1641.75777831829,3296.39976716289,0,0.487366545924197,"Percent wooodland + slope","1.90 [1.43, 2.38]","-0.79 [-1.17, -0.40]","-0.59 [-1.00, -0.18]",NA,NA,NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",NA,NA,NA
-1.52271866990146,1.94083655486311,"+",-0.172036447814069,-0.624840992829006,-0.794210823614266,NA,-0.23523081070041,NA,NA,7,-1641.43692142974,3298.06533222118,1.66556505828567,0.211925324960392,"Turbine road density + percent wooodland + slope","1.94 [1.45, 2.43]","-0.79 [-1.19, -0.40]","-0.62 [-1.04, -0.21]",NA,"-0.24 [-0.65, 0.18]",NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",0.641713777100904,0.423090894193245,0.434837652958958
-1.52258650806761,1.83369936993644,"+",-0.172062907806175,NA,-0.826611406560374,NA,NA,NA,NA,5,-1644.16361901329,3298.95223802658,2.55247086368536,0.136017162029498,"Percent woodland","1.83 [1.38, 2.28]","-0.83 [-1.19, -0.46]",NA,NA,NA,NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",NA,NA,NA
-1.52269432089066,1.94828143108498,"+",-0.172012004847188,-0.627151354924363,-0.803012303030678,NA,-0.218097401987463,-0.109979887456404,NA,8,-1641.38916418094,3300.32671545866,3.92694829576567,0.0684115967323121,"Turbine road density x percent wooodland + slope","1.95 [1.46, 2.44]","-0.80 [-1.20, -0.41]","-0.63 [-1.04, -0.21]",NA,"-0.22 [-0.65, 0.21]","-0.11 [-0.63, 0.41]",NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",0.737228274692825,0.691692257173724,0.140369907012355
-1.5226267655976,1.84850686303184,"+",-0.17208350527051,NA,-0.829220410913886,NA,-0.13408416964971,NA,NA,6,-1644.05200321535,3300.98821695702,4.58844979412879,0.0491458105024674,"Turbine road density + percent wooodland","1.85 [1.39, 2.31]","-0.83 [-1.20, -0.46]",NA,NA,"-0.13 [-0.54, 0.27]",NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",0.223231595872221,0.636588559738891,0.361320658137311
-1.52262384358782,2.03073419252891,"+",-0.172177159299906,-0.605000519027607,NA,"+",NA,NA,NA,6,-1645.06542283235,3303.01505619102,6.61528902813143,0.0178387309038505,"Biotic community + slope","2.03 [1.49, 2.57]",NA,"-0.61 [-0.99, -0.22]","-0.91 [-1.74, -0.08]",NA,NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",NA,NA,NA
-1.52269653217369,1.70836315672636,"+",-0.172338633629898,-0.611982532999485,NA,NA,NA,NA,NA,5,-1646.29402096133,3303.21304192266,6.81327475976468,0.0161574157061122,"Slope","1.71 [1.30, 2.12]",NA,"-0.61 [-0.98, -0.25]",NA,NA,NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",NA,NA,NA
-1.52274114125059,1.73393766609878,"+",-0.172366206365314,-0.642949445887271,NA,NA,-0.246159997403752,NA,NA,6,-1645.87323843408,3304.63068739447,8.23092023157687,0.00795305701722734,"Turbine road density + slope","1.73 [1.31, 2.15]",NA,"-0.64 [-1.01, -0.27]",NA,"-0.25 [-0.62, 0.13]",NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",0.841565054503462,0.358949547777927,0.492223333352669
-1.52273432645837,2.05423781090483,"+",-0.172228448784084,-0.633689983851873,NA,"+",-0.362538126277493,NA,"+",8,-1644.51965746889,3306.58770203455,10.1879348716616,0.00298932935177743,"Turbine road density x biotic community + slope","2.05 [1.50, 2.61]",NA,"-0.63 [-1.03, -0.24]","-0.94 [-1.78, -0.09]","-0.36 [-0.85, 0.12]",NA,"0.41 [-0.39, 1.20]","-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",1.09153072692834,0.579398163410777,0.167575225384009
-1.52278995722471,1.61407117725818,"+",-0.172626458892585,NA,NA,NA,NA,NA,NA,4,-1649.72873896069,3307.86984905541,11.470081892518,0.00157455950650635,"Base Detection Submodel","1.61 [1.23, 2.00]",NA,NA,NA,NA,NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",NA,NA,NA
-1.52282573455929,1.62190983301374,"+",-0.172651711042534,NA,NA,NA,-0.152354627881032,NA,NA,5,-1649.5536823518,3309.73236470359,13.3325975406992,0.000620467365659775,"Turbine road density","1.62 [1.24, 2.01]",NA,NA,NA,"-0.15 [-0.52, 0.21]",NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",0.350113217798025,0.554049047221509,0.394057743194779
