"Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt","Model","psi(Int)_psi","psi(woodland_percent_0_9km)_psi","psi(slope)_psi","psi(X50cm_turbine_vis)_psi","psi(as.factor(turbine_interior)1)_psi","psi(turbine_rd_dist)_psi","p(Int)_det","p(as.factor(precip.cat)1)_det","p(veg_cover_cam_under_1m)_det","LRT_stat","LRT_df","LRT_p","Evidence_Ratio_vs_NonWind"
"Turbine visibility + access road distance + percent wooodland + slope",8,3293.08457813612,0,1,0.39582712102555,-1637.76809551967,0.39582712102555,"Turbine visibility + access road distance + percent wooodland + slope","2.66 [1.70, 3.62]","-0.96 [-1.47, -0.45]","-0.80 [-1.29, -0.31]","-0.66 [-1.18, -0.13]",NA,"1.95 [0.28, 3.63]","-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",7.97936559723257,2,0.018505583185525,5.24667484657209
"Turbine interior + turbine visibility + access road distance + 
    percent wooodland + slope",9,3295.06358524396,1.97900710784279,0.371761204609939,0.147153167329743,-1637.55353175241,0.542980288355293,"Turbine interior + turbine visibility + access road distance + 
    percent wooodland + slope","2.70 [1.77, 3.63]","-0.97 [-1.48, -0.46]","-0.83 [-1.33, -0.33]","-0.64 [-1.16, -0.11]","-0.47 [-1.50, 0.56]","1.62 [-0.15, 3.38]","-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",8.40849313174613,3,0.0382823353495066,1.9505101611583
"Turbine interior + access road distance + percent wooodland + slope",8,3295.42454517557,2.33996703945286,0.310372056239732,0.122853677468153,-1638.9380790394,0.665833965823446,"Turbine interior + access road distance + percent wooodland + slope","2.50 [1.68, 3.32]","-0.68 [-1.09, -0.27]","-0.69 [-1.13, -0.24]",NA,"-0.53 [-1.53, 0.46]","1.33 [-0.19, 2.85]","-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",5.63939855777971,2,0.0596238701696497,1.62842126055186
"Turbine interior + turbine visibility + percent wooodland + slope",8,3295.80394095156,2.71936281543776,0.256742560123011,0.101625668418221,-1639.12777692739,0.767459634241667,"Turbine interior + turbine visibility + percent wooodland + slope","2.35 [1.70, 3.00]","-1.04 [-1.52, -0.57]","-0.80 [-1.28, -0.33]","-0.57 [-1.05, -0.08]","-1.06 [-1.99, -0.12]",NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",5.26000278179481,2,0.0720783619850897,1.34704473224192
"Percent wooodland + slope",6,3296.39976716289,3.31518902677408,0.190596907420964,0.0754434251408135,-1641.75777831829,0.84290305938248,"Percent wooodland + slope","1.90 [1.43, 2.38]","-0.79 [-1.17, -0.40]","-0.59 [-1.00, -0.18]",NA,NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",NA,NA,NA,NA
"Turbine visibility + access road distance + percent wooodland",7,3297.66311084242,4.57853270629903,0.101340782934062,0.040113430351265,-1641.23581074036,0.883016489733745,"Turbine visibility + access road distance + percent wooodland","2.39 [1.57, 3.20]","-0.93 [-1.39, -0.46]",NA,"-0.44 [-0.92, 0.04]",NA,"1.56 [0.10, 3.02]","-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",5.85561654586263,2,0.0535141982236453,1.90515542291032
"Turbine interior + access road distance + slope",7,3298.88624888522,5.80167074910469,0.0549772742522338,0.0217614961890938,-1641.84737976176,0.904777985922839,"Turbine interior + access road distance + slope","2.40 [1.59, 3.20]",NA,"-0.72 [-1.13, -0.30]",NA,"-0.37 [-1.30, 0.57]","1.72 [0.20, 3.25]","-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",8.8932823991363,2,0.0117178588961081,8.70063941308746
"Percent woodland",5,3298.95223802658,5.86765989045944,0.053192921540886,0.0210552009924669,-1644.16361901329,0.925833186915306,"Percent woodland","1.83 [1.38, 2.28]","-0.83 [-1.19, -0.46]",NA,NA,NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",NA,NA,NA,NA
"Turbine interior + access road distance + percent wooodland",7,3299.01106409178,5.92648595565879,0.0516511417661931,0.0204449227429948,-1641.90978736504,0.946278109658301,"Turbine interior + access road distance + percent wooodland","2.30 [1.56, 3.04]","-0.74 [-1.13, -0.35]",NA,NA,"-0.31 [-1.25, 0.64]","1.22 [-0.18, 2.62]","-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",4.50766329650287,2,0.10499614453097,0.971015320647357
"Turbine visibility + access road distance + slope",7,3299.09870673441,6.01412859829634,0.0494365969980046,0.0195683458630205,-1641.95360868636,0.965846455521321,"Turbine visibility + access road distance + slope","2.37 [1.54, 3.19]",NA,"-0.71 [-1.14, -0.29]","-0.11 [-0.57, 0.36]",NA,"2.00 [0.50, 3.51]","-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",8.68082454994465,2,0.0130311546768948,7.82377828184675
"Turbine interior + turbine visibility + access road distance + 
   percent wooodland",8,3299.89880992482,6.81423178869773,0.0331366322402504,0.0131163777401407,-1641.17521141402,0.978962833261462,"Turbine interior + turbine visibility + access road distance + 
   percent wooodland","2.40 [1.60, 3.20]","-0.93 [-1.39, -0.47]",NA,"-0.43 [-0.91, 0.05]","-0.23 [-1.20, 0.73]","1.39 [-0.18, 2.97]","-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",5.97681519853586,3,0.112743680629293,0.622951913155971
"Turbine interior + turbine visibility + percent wooodland",7,3300.43410765637,7.34952952025515,0.0253553694150913,0.0100363428781149,-1642.62130914734,0.988999176139577,"Turbine interior + turbine visibility + percent wooodland","2.13 [1.55, 2.71]","-1.00 [-1.43, -0.56]",NA,"-0.39 [-0.84, 0.07]","-0.77 [-1.64, 0.10]",NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",3.08461973190651,2,0.213886481292794,0.476668110729776
"Turbine interior + turbine visibility + access road distance + slope",8,3301.15987960977,8.07530147364787,0.0176388621081656,0.00698194000644185,-1641.8057462565,0.995981116146019,"Turbine interior + turbine visibility + access road distance + slope","2.41 [1.60, 3.23]",NA,"-0.74 [-1.16, -0.31]","-0.09 [-0.56, 0.37]","-0.35 [-1.29, 0.58]","1.78 [0.20, 3.35]","-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",8.97654940966504,3,0.0296043052058663,2.7915057803013
"Slope",5,3303.21304192266,10.1284637865388,0.00631876252330804,0.00250113757804516,-1646.29402096133,0.998482253724064,"Slope","1.71 [1.30, 2.12]",NA,"-0.61 [-0.98, -0.25]",NA,NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",NA,NA,NA,NA
"Turbine interior + turbine visibility + slope",7,3304.56219847258,11.477620336459,0.0032185955852115,0.00127400742423981,-1644.68535455544,0.999756261148304,"Turbine interior + turbine visibility + slope","2.09 [1.53, 2.65]",NA,"-0.70 [-1.10, -0.31]","-0.02 [-0.46, 0.42]","-1.08 [-1.93, -0.22]",NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",3.21733281178194,2,0.200154360846171,0.509371189902937
"Null",4,3307.86984905541,14.7852709192921,0.000615770973613494,0.000243738851696529,-1649.72873896069,1,"Null","1.61 [1.23, 2.00]",NA,NA,NA,NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",NA,NA,NA,NA
